iter	Logloss
0	0.6417547036
1	0.6014689321
2	0.5638172229
3	0.5305916763
4	0.5004247065
5	0.4763363779
6	0.4540491642
7	0.4387417816
8	0.4241027121
9	0.4092011839
10	0.3962153322
11	0.3850226482
12	0.3758221785
13	0.3687234249
14	0.3643540771
15	0.3573368566
16	0.3506556963
17	0.3456070271
18	0.3419042984
19	0.3369982702
20	0.3331088619
21	0.3294061536
22	0.3245512224
23	0.3221307476
24	0.3191068666
25	0.3169861001
26	0.3136383167
27	0.3121020486
28	0.3094835688
29	0.3070476141
30	0.3050117553
31	0.3035408005
32	0.3023651704
33	0.300856116
34	0.2993881698
35	0.296387081
36	0.2948933984
37	0.2933516643
38	0.285567312
39	0.2842669454
40	0.2832657534
41	0.2822432539
42	0.2816048646
43	0.2759243962
44	0.2750295664
45	0.2741027024
46	0.2698974833
47	0.2688025706
48	0.2681873637
49	0.2671982822
50	0.2669387324
51	0.266359484
52	0.264657616
53	0.264295879
54	0.2640379823
55	0.2636874911
56	0.2624874754
57	0.2617372103
58	0.2614316985
59	0.2613244885
60	0.2580874633
61	0.2560971394
62	0.2553648972
63	0.25473464
64	0.2543676791
65	0.252142601
66	0.2511524093
67	0.2497946184
68	0.2492063018
69	0.2489146965
70	0.2485507613
71	0.2478283661
72	0.246860372
73	0.2458660092
74	0.245623276
75	0.2453558594
76	0.2451670877
77	0.2429326642
78	0.2426508759
79	0.2418187422
80	0.2416052496
81	0.241239243
82	0.2411908049
83	0.2397954267
84	0.2396856845
85	0.2392345788
86	0.2375662935
87	0.2374971918
88	0.2363430333
89	0.2362990747
90	0.2350576227
91	0.2348708707
92	0.2348259242
93	0.2346659821
94	0.2346258095
95	0.2341226532
96	0.2338110377
97	0.2337665258
98	0.2334909297
99	0.2325236481
