iter	Passed	Remaining
0	54	5357
1	54	2683
2	55	1785
3	55	1337
4	56	1069
5	56	887
6	57	759
7	57	662
8	57	586
9	58	525
10	58	476
11	59	434
12	59	399
13	60	369
14	60	343
15	60	320
16	61	299
17	61	281
18	62	266
19	63	255
20	64	241
21	65	232
22	66	223
23	67	212
24	68	204
25	69	197
26	70	190
27	71	184
28	72	178
29	73	171
30	73	164
31	74	157
32	74	151
33	75	146
34	75	140
35	76	135
36	77	131
37	78	128
38	80	125
39	81	122
40	82	118
41	83	115
42	84	111
43	84	107
44	85	103
45	85	100
46	86	97
47	86	93
48	87	91
49	87	87
50	88	84
51	88	82
52	90	79
53	90	77
54	91	74
55	92	72
56	92	69
57	94	68
58	95	66
59	96	64
60	97	62
61	98	60
62	98	58
63	99	55
64	99	53
65	100	51
66	100	49
67	101	47
68	101	45
69	102	43
70	103	42
71	104	40
72	107	39
73	110	38
74	111	37
75	112	35
76	112	33
77	113	31
78	113	30
79	114	28
80	114	26
81	115	25
82	115	23
83	116	22
84	116	20
85	117	19
86	117	17
87	118	16
88	118	14
89	119	13
90	120	11
91	120	10
92	121	9
93	122	7
94	123	6
95	123	5
96	124	3
97	124	2
98	125	1
99	126	0
